Λήμμα (Lemma),POS,Drill_Type,Front,Back
ίχνος,Noun,Genitive Singular,ίχνος (Genitive Singular),ίχνους
αέναος,Adjective,Feminine,αέναος (Feminine),αέναη
αέναος,Adjective,Neuter,αέναος (Neuter),αέναο
αέρας,Noun,Plural,αέρας (Plural),αέρες
αέρας,Noun,Genitive Singular,αέρας (Genitive Singular),αέρα
αέριο,Noun,Plural,αέριο (Plural),αέρια
αέριο,Noun,Genitive Singular,αέριο (Genitive Singular),αέριου
αέριος,Adjective,Feminine,αέριος (Feminine),αέρια
αέριος,Adjective,Neuter,αέριος (Neuter),αέριο
αίθουσα,Noun,Plural,αίθουσα (Plural),αίθουσες
αίθουσα,Noun,Genitive Singular,αίθουσα (Genitive Singular),αίθουσας
αίθριος,Adjective,Feminine,αίθριος (Feminine),αίθρια
αίθριος,Adjective,Neuter,αίθριος (Neuter),αίθριο
αίμα,Noun,Plural,αίμα (Plural),αίματα
αίμα,Noun,Genitive Singular,αίμα (Genitive Singular),αίματος
αίνιγμα,Noun,Plural,αίνιγμα (Plural),αινίγματα
αίνιγμα,Noun,Genitive Singular,αίνιγμα (Genitive Singular),αινίγματος
αίρεση,Noun,Plural,αίρεση (Plural),αιρέσεις
αίρεση,Noun,Genitive Singular,αίρεση (Genitive Singular),αίρεσης
αίρω,Verb,Active Participle,αίρω (Active Participle),έχοντας άρει
αίσθημα,Noun,Plural,αίσθημα (Plural),αισθήματα
αίσθημα,Noun,Genitive Singular,αίσθημα (Genitive Singular),αισθήματος
αίσθηση,Noun,Plural,αίσθηση (Plural),αισθήσεις
αίσθηση,Noun,Genitive Singular,αίσθηση (Genitive Singular),αίσθησης
αίτημα,Noun,Plural,αίτημα (Plural),αιτήματα
αίτημα,Noun,Genitive Singular,αίτημα (Genitive Singular),αιτήματος
αίτηση,Noun,Plural,αίτηση (Plural),αιτήσεις
αίτηση,Noun,Genitive Singular,αίτηση (Genitive Singular),αίτησης
αίτιο,Noun,Plural,αίτιο (Plural),αίτια
αίτιο,Noun,Genitive Singular,αίτιο (Genitive Singular),αίτιου
αίτιος,Adjective,Feminine,αίτιος (Feminine),αίτια
αίτιος,Adjective,Neuter,αίτιος (Neuter),αίτιο
αβέβαιος,Adjective,Feminine,αβέβαιος (Feminine),αβέβαιη
αβέβαιος,Adjective,Neuter,αβέβαιος (Neuter),αβέβαιο
αβεβαιότητα,Noun,Plural,αβεβαιότητα (Plural),αβεβαιότητες
αβεβαιότητα,Noun,Genitive Singular,αβεβαιότητα (Genitive Singular),αβεβαιότητας
αγάπη,Noun,Plural,αγάπη (Plural),αγάπες
αγάπη,Noun,Genitive Singular,αγάπη (Genitive Singular),αγάπης
αγαθά,Noun,Plural,αγαθά (Plural),αγαθά
αγαθό,Noun,Plural,αγαθό (Plural),αγαθά
αγαθό,Noun,Genitive Singular,αγαθό (Genitive Singular),αγαθού
αγαθός,Adjective,Feminine,αγαθός (Feminine),αγαθή
αγαθός,Adjective,Neuter,αγαθός (Neuter),αγαθό
αγαπημένος,Noun,Plural,αγαπημένος (Plural),αγαπημένοι
αγαπημένος,Noun,Genitive Singular,αγαπημένος (Genitive Singular),αγαπημένου
αγαπητός,Adjective,Feminine,αγαπητός (Feminine),αγαπητή
αγαπητός,Adjective,Neuter,αγαπητός (Neuter),αγαπητό
αγγίζω,Verb,Active Participle,αγγίζω (Active Participle),αγγίσει
αγγαρεία,Noun,Plural,αγγαρεία (Plural),αγγαρείες
αγγαρεία,Noun,Genitive Singular,αγγαρεία (Genitive Singular),αγγαρείας
αγγείο,Noun,Plural,αγγείο (Plural),αγγεία
αγγείο,Noun,Genitive Singular,αγγείο (Genitive Singular),αγγείου
αγγελία,Noun,Plural,αγγελία (Plural),αγγελίες
αγγελία,Noun,Genitive Singular,αγγελία (Genitive Singular),αγγελίας
αγγελικός,Adjective,Feminine,αγγελικός (Feminine),αγγελική
αγγελικός,Adjective,Neuter,αγγελικός (Neuter),αγγελικό
αγγλικός,Adjective,Feminine,αγγλικός (Feminine),αγγλική
αγγλικός,Adjective,Neuter,αγγλικός (Neuter),αγγλικό
αγελάδα,Noun,Plural,αγελάδα (Plural),αγελάδες
αγελάδα,Noun,Genitive Singular,αγελάδα (Genitive Singular),αγελάδας
αγενής,Adjective,Feminine,αγενής (Feminine),αγενής
αγενής,Adjective,Neuter,αγενής (Neuter),αγενές
αγιάζω,Verb,Active Participle,αγιάζω (Active Participle),έχοντας αγιάσει
αγκαλιά,Noun,Plural,αγκαλιά (Plural),αγκαλιές
αγκαλιά,Noun,Genitive Singular,αγκαλιά (Genitive Singular),αγκαλιάς
αγκαλιάζω,Verb,Active Participle,αγκαλιάζω (Active Participle),έχοντας αγκαλιάσει
αγκιστρώνω,Verb,Active Participle,αγκιστρώνω (Active Participle),έχοντας αγκιστρώσει
αγκώνας,Noun,Plural,αγκώνας (Plural),αγκώνες
αγκώνας,Noun,Genitive Singular,αγκώνας (Genitive Singular),αγκώνα
αγνοούμενος,Noun,Plural,αγνοούμενος (Plural),αγνοούμενοι
αγνοούμενος,Noun,Genitive Singular,αγνοούμενος (Genitive Singular),αγνοουμένου
αγνοώ,Verb,Passive Participle,αγνοώ (Passive Participle),αγνοημένος
αγνοώ,Verb,Active Participle,αγνοώ (Active Participle),έχοντας αγνοήσει
αγνός,Adjective,Feminine,αγνός (Feminine),αγνή
αγνός,Adjective,Neuter,αγνός (Neuter),αγνό
αγορά,Noun,Plural,αγορά (Plural),αγορές
αγορά,Noun,Genitive Singular,αγορά (Genitive Singular),αγοράς
αγοράζω,Verb,Passive Participle,αγοράζω (Passive Participle),αγορασμένος
αγοράζω,Verb,Active Participle,αγοράζω (Active Participle),έχοντας αγοράσει
αγοραστής,Noun,Plural,αγοραστής (Plural),αγοραστές
αγοραστής,Noun,Genitive Singular,αγοραστής (Genitive Singular),αγοραστή
αγροικία,Noun,Plural,αγροικία (Plural),αγροικίες
αγροικία,Noun,Genitive Singular,αγροικία (Genitive Singular),αγροικίας
αγροτικός,Adjective,Feminine,αγροτικός (Feminine),αγροτική
αγροτικός,Adjective,Neuter,αγροτικός (Neuter),αγροτικό
αγρόκτημα,Noun,Plural,αγρόκτημα (Plural),αγροκτήματα
αγρόκτημα,Noun,Genitive Singular,αγρόκτημα (Genitive Singular),αγροκτήματος
αγρός,Noun,Plural,αγρός (Plural),αγροί
αγρός,Noun,Genitive Singular,αγρός (Genitive Singular),αγρού
αγρότης,Noun,Plural,αγρότης (Plural),αγρότες
αγρότης,Noun,Genitive Singular,αγρότης (Genitive Singular),αγρότη
αγωγή,Noun,Plural,αγωγή (Plural),αγωγές
αγωγή,Noun,Genitive Singular,αγωγή (Genitive Singular),αγωγής
αγωγός,Noun,Plural,αγωγός (Plural),αγωγοί
αγωγός,Noun,Genitive Singular,αγωγός (Genitive Singular),αγωγού
αγωνία,Noun,Plural,αγωνία (Plural),αγωνίες
αγωνία,Noun,Genitive Singular,αγωνία (Genitive Singular),αγωνίας
αγωνιστής,Noun,Plural,αγωνιστής (Plural),αγωνιστές
αγωνιστής,Noun,Genitive Singular,αγωνιστής (Genitive Singular),αγωνιστή
αγωνιστικός,Adjective,Feminine,αγωνιστικός (Feminine),αγωνιστική
αγωνιστικός,Adjective,Neuter,αγωνιστικός (Neuter),αγωνιστικό
αγόρι,Noun,Plural,αγόρι (Plural),αγόρια
αγόρι,Noun,Genitive Singular,αγόρι (Genitive Singular),αγοριού
αγώνας,Noun,Plural,αγώνας (Plural),αγώνες
αγώνας,Noun,Genitive Singular,αγώνας (Genitive Singular),αγώνα
αγώνισμα,Noun,Plural,αγώνισμα (Plural),αγωνίσματα
αγώνισμα,Noun,Genitive Singular,αγώνισμα (Genitive Singular),αγωνίσματος
αδένας,Noun,Plural,αδένας (Plural),αδένες
αδένας,Noun,Genitive Singular,αδένας (Genitive Singular),αδένα
αδίκημα,Noun,Plural,αδίκημα (Plural),αδικήματα
αδίκημα,Noun,Genitive Singular,αδίκημα (Genitive Singular),αδικήματος
αδειάζω,Verb,Active Participle,αδειάζω (Active Participle),έχοντας αδειάσει
αδιάκοπος,Adjective,Feminine,αδιάκοπος (Feminine),αδιάκοπη
αδιάκοπος,Adjective,Neuter,αδιάκοπος (Neuter),αδιάκοπο
αδιάφορος,Adjective,Feminine,αδιάφορος (Feminine),αδιάφορη
αδιάφορος,Adjective,Neuter,αδιάφορος (Neuter),αδιάφορο
αδιέξοδος,Adjective,Feminine,αδιέξοδος (Feminine),αδιέξοδη
αδιέξοδος,Adjective,Neuter,αδιέξοδος (Neuter),αδιέξοδο
αδιαμφισβήτητος,Adjective,Feminine,αδιαμφισβήτητος (Feminine),αδιαμφισβήτητη
αδιαμφισβήτητος,Adjective,Neuter,αδιαμφισβήτητος (Neuter),αδιαμφισβήτητο
αδιανόητος,Adjective,Feminine,αδιανόητος (Feminine),αδιανόητη
αδιανόητος,Adjective,Neuter,αδιανόητος (Neuter),αδιανόητο
αδιαφορία,Noun,Plural,αδιαφορία (Plural),αδιαφορίες
αδιαφορία,Noun,Genitive Singular,αδιαφορία (Genitive Singular),αδιαφορίας
αδιαφορώ,Verb,Active Participle,αδιαφορώ (Active Participle),έχοντας αδιαφορήσει
αδικία,Noun,Plural,αδικία (Plural),αδικίες
αδικία,Noun,Genitive Singular,αδικία (Genitive Singular),αδικίας
αδικαιολόγητος,Adjective,Feminine,αδικαιολόγητος (Feminine),αδικαιολόγητη
αδικαιολόγητος,Adjective,Neuter,αδικαιολόγητος (Neuter),αδικαιολόγητο
αδικώ,Verb,Passive Participle,αδικώ (Passive Participle),αδικημένος
αδικώ,Verb,Active Participle,αδικώ (Active Participle),έχοντας αδικήσει
αδυναμία,Noun,Plural,αδυναμία (Plural),αδυναμίες
αδυναμία,Noun,Genitive Singular,αδυναμία (Genitive Singular),αδυναμίας
αδύναμος,Adjective,Feminine,αδύναμος (Feminine),αδύναμη
αδύναμος,Adjective,Neuter,αδύναμος (Neuter),αδύναμο
αδύνατος,Adjective,Feminine,αδύνατος (Feminine),αδύνατη
αδύνατος,Adjective,Neuter,αδύνατος (Neuter),αδύνατο
αεροδρόμιο,Noun,Plural,αεροδρόμιο (Plural),αεροδρόμια
αεροδρόμιο,Noun,Genitive Singular,αεροδρόμιο (Genitive Singular),αεροδρόμιου
αερολιμένας,Noun,Plural,αερολιμένας (Plural),αερολιμένες
αερολιμένας,Noun,Genitive Singular,αερολιμένας (Genitive Singular),αερολιμένα
αεροπλάνο,Noun,Plural,αεροπλάνο (Plural),αεροπλάνα
αεροπλάνο,Noun,Genitive Singular,αεροπλάνο (Genitive Singular),αεροπλάνου
αεροπορία,Noun,Plural,αεροπορία (Plural),αεροπορίες
αεροπορία,Noun,Genitive Singular,αεροπορία (Genitive Singular),αεροπορίας
αεροπορικός,Adjective,Feminine,αεροπορικός (Feminine),αεροπορική
αεροπορικός,Adjective,Neuter,αεροπορικός (Neuter),αεροπορικό
αεροσκάφος,Noun,Plural,αεροσκάφος (Plural),αεροσκάφη
αεροσκάφος,Noun,Genitive Singular,αεροσκάφος (Genitive Singular),αεροσκάφους
αετός,Noun,Plural,αετός (Plural),αετοί
αετός,Noun,Genitive Singular,αετός (Genitive Singular),αετού
αηδιαστικός,Adjective,Feminine,αηδιαστικός (Feminine),αηδιαστική
αηδιαστικός,Adjective,Neuter,αηδιαστικός (Neuter),αηδιαστικό
αθάνατος,Adjective,Feminine,αθάνατος (Feminine),αθάνατη
αθάνατος,Adjective,Neuter,αθάνατος (Neuter),αθάνατο
αθάνατος,Noun,Plural,αθάνατος (Plural),αθάνατοι
αθάνατος,Noun,Genitive Singular,αθάνατος (Genitive Singular),αθανάτου
αθέμιτος,Adjective,Feminine,αθέμιτος (Feminine),αθέμιτη
αθέμιτος,Adjective,Neuter,αθέμιτος (Neuter),αθέμιτο
αθέτηση,Noun,Plural,αθέτηση (Plural),αθετήσεις
αθέτηση,Noun,Genitive Singular,αθέτηση (Genitive Singular),αθέτησης
αθετώ,Verb,Passive Participle,αθετώ (Passive Participle),αθετημένος
αθετώ,Verb,Active Participle,αθετώ (Active Participle),έχοντας αθετήσει
αθλητής,Noun,Plural,αθλητής (Plural),αθλητές
αθλητής,Noun,Genitive Singular,αθλητής (Genitive Singular),αθλητή
αθλητικός,Adjective,Feminine,αθλητικός (Feminine),αθλητική
αθλητικός,Adjective,Neuter,αθλητικός (Neuter),αθλητικό
αθλητισμός,Noun,Plural,αθλητισμός (Plural),αθλητισμοί
αθλητισμός,Noun,Genitive Singular,αθλητισμός (Genitive Singular),αθλητισμού
αθροίζω,Verb,Active Participle,αθροίζω (Active Participle),έχοντας αθροίσει
αθόρυβος,Adjective,Feminine,αθόρυβος (Feminine),αθόρυβη
αθόρυβος,Adjective,Neuter,αθόρυβος (Neuter),αθόρυβο
αθώος,Adjective,Feminine,αθώος (Feminine),αθώα
αθώος,Adjective,Neuter,αθώος (Neuter),αθώο
αιθέρας,Noun,Plural,αιθέρας (Plural),αιθέρες
αιθέρας,Noun,Genitive Singular,αιθέρας (Genitive Singular),αιθέρα
αιματηρός,Adjective,Feminine,αιματηρός (Feminine),αιματηρή
αιματηρός,Adjective,Neuter,αιματηρός (Neuter),αιματηρό
αιμορραγία,Noun,Plural,αιμορραγία (Plural),αιμορραγίες
αιμορραγία,Noun,Genitive Singular,αιμορραγία (Genitive Singular),αιμορραγίας
αισθηματικός,Adjective,Feminine,αισθηματικός (Feminine),αισθηματική
αισθηματικός,Adjective,Neuter,αισθηματικός (Neuter),αισθηματικό
αισθητική,Noun,Plural,αισθητική (Plural),αισθητικές
αισθητική,Noun,Genitive Singular,αισθητική (Genitive Singular),αισθητικής
αισθητικός,Adjective,Feminine,αισθητικός (Feminine),αισθητική
αισθητικός,Adjective,Neuter,αισθητικός (Neuter),αισθητικό
αισθητικός,Noun,Plural,αισθητικός (Plural),αισθητικοί
αισθητικός,Noun,Genitive Singular,αισθητικός (Genitive Singular),αισθητικού
αισθητός,Adjective,Feminine,αισθητός (Feminine),αισθητή
αισθητός,Adjective,Neuter,αισθητός (Neuter),αισθητό
αισιοδοξία,Noun,Genitive Singular,αισιοδοξία (Genitive Singular),αισιοδοξίας
αισιόδοξος,Adjective,Feminine,αισιόδοξος (Feminine),αισιόδοξη
αισιόδοξος,Adjective,Neuter,αισιόδοξος (Neuter),αισιόδοξο
αισιόδοξος,Noun,Plural,αισιόδοξος (Plural),αισιόδοξοι
αισιόδοξος,Noun,Genitive Singular,αισιόδοξος (Genitive Singular),αισιόδοξου
αιτία,Noun,Plural,αιτία (Plural),αιτίες
αιτία,Noun,Genitive Singular,αιτία (Genitive Singular),αιτίας
